iter	Passed	Remaining
0	145	72776
1	154	38389
2	161	26803
3	169	20983
4	176	17504
5	184	15197
6	192	13525
7	199	12253
8	207	11317
9	214	10523
10	221	9864
11	226	9208
12	233	8763
13	241	8390
14	249	8052
15	254	7705
16	259	7368
17	266	7144
18	274	6948
19	282	6772
20	289	6597
21	296	6445
22	303	6300
23	310	6165
24	318	6045
25	325	5929
26	332	5820
27	340	5739
28	347	5640
29	355	5564
30	362	5483
31	370	5414
32	377	5339
33	384	5269
34	392	5214
35	400	5165
36	407	5103
37	415	5050
38	422	4995
39	429	4944
40	437	4898
41	444	4847
42	451	4803
43	459	4764
44	466	4720
45	474	4684
46	482	4651
47	489	4611
48	496	4568
49	503	4531
50	511	4499
51	519	4475
52	526	4439
53	533	4406
54	540	4374
55	547	4344
56	556	4325
57	563	4294
58	571	4271
59	578	4243
60	586	4217
61	592	4187
62	601	4168
63	608	4145
64	616	4124
65	623	4098
66	630	4075
67	637	4050
68	644	4026
69	652	4009
70	660	3989
71	667	3968
72	675	3949
73	682	3926
74	689	3908
75	697	3888
76	703	3866
77	710	3845
78	717	3823
79	723	3799
80	730	3779
81	737	3758
82	744	3739
83	751	3720
84	758	3703
85	765	3685
86	771	3664
87	778	3644
88	784	3625
89	792	3608
90	798	3590
91	805	3573
92	813	3558
93	820	3542
94	827	3527
95	834	3511
96	841	3497
97	848	3480
98	855	3466
99	862	3450
100	870	3439
101	877	3424
102	884	3407
103	890	3391
104	897	3378
105	904	3362
106	912	3349
107	919	3336
108	925	3320
109	933	3308
110	940	3296
111	947	3282
112	955	3270
113	961	3256
114	969	3244
115	976	3232
116	983	3220
117	991	3209
118	999	3198
119	1006	3186
120	1013	3174
121	1021	3164
122	1029	3154
123	1037	3145
124	1044	3132
125	1051	3121
126	1059	3111
127	1066	3099
128	1074	3089
129	1082	3081
130	1090	3070
131	1098	3063
132	1106	3052
133	1113	3042
134	1121	3031
135	1128	3020
136	1135	3007
137	1142	2996
138	1149	2985
139	1156	2973
140	1163	2961
141	1169	2949
142	1176	2938
143	1184	2928
144	1191	2917
145	1198	2907
146	1205	2894
147	1212	2884
148	1220	2874
149	1226	2862
150	1233	2850
151	1239	2838
152	1247	2828
153	1254	2818
154	1260	2806
155	1267	2795
156	1274	2785
157	1281	2773
158	1288	2763
159	1295	2752
160	1302	2742
161	1308	2730
162	1315	2720
163	1322	2710
164	1329	2699
165	1336	2689
166	1343	2679
167	1350	2668
168	1357	2658
169	1364	2648
170	1370	2637
171	1378	2627
172	1384	2617
173	1392	2608
174	1399	2598
175	1406	2589
176	1413	2579
177	1421	2570
178	1428	2561
179	1435	2551
180	1442	2542
181	1449	2532
182	1455	2521
183	1462	2512
184	1469	2501
185	1475	2491
186	1482	2481
187	1489	2472
188	1495	2461
189	1502	2452
190	1510	2442
191	1517	2434
192	1524	2425
193	1532	2416
194	1538	2406
195	1545	2397
196	1552	2387
197	1559	2378
198	1566	2369
199	1573	2360
200	1580	2351
201	1588	2343
202	1596	2335
203	1603	2327
204	1611	2319
205	1618	2309
206	1624	2299
207	1632	2291
208	1640	2283
209	1648	2276
210	1655	2267
211	1662	2258
212	1669	2249
213	1675	2239
214	1682	2230
215	1690	2222
216	1696	2213
217	1703	2204
218	1710	2195
219	1718	2186
220	1725	2177
221	1731	2168
222	1738	2159
223	1745	2150
224	1752	2141
225	1760	2134
226	1767	2125
227	1775	2117
228	1782	2109
229	1790	2101
230	1797	2093
231	1804	2084
232	1811	2075
233	1823	2073
234	1832	2066
235	1840	2059
236	1849	2052
237	1859	2047
238	1869	2041
239	1876	2032
240	1884	2025
241	1892	2017
242	1899	2008
243	1906	2000
244	1914	1992
245	1920	1983
246	1928	1974
247	1938	1969
248	1947	1962
249	1964	1964
250	1981	1965
251	1989	1957
252	1999	1952
253	2008	1945
254	2017	1938
255	2026	1931
256	2034	1923
257	2041	1915
258	2050	1908
259	2058	1899
260	2065	1891
261	2073	1883
262	2080	1874
263	2089	1867
264	2096	1859
265	2104	1851
266	2113	1844
267	2121	1836
268	2128	1827
269	2136	1819
270	2143	1811
271	2149	1802
272	2157	1793
273	2164	1784
274	2171	1776
275	2178	1768
276	2185	1759
277	2192	1750
278	2199	1742
279	2206	1733
280	2214	1725
281	2222	1717
282	2229	1709
283	2236	1700
284	2243	1692
285	2250	1683
286	2257	1675
287	2264	1666
288	2272	1658
289	2280	1651
290	2287	1643
291	2294	1634
292	2302	1626
293	2310	1618
294	2317	1610
295	2324	1601
296	2331	1593
297	2338	1584
298	2345	1577
299	2352	1568
300	2360	1560
301	2367	1552
302	2375	1544
303	2382	1536
304	2389	1528
305	2399	1521
306	2406	1512
307	2413	1504
308	2421	1496
309	2428	1488
310	2435	1480
311	2443	1472
312	2450	1464
313	2457	1455
314	2463	1447
315	2470	1438
316	2478	1430
317	2484	1422
318	2492	1414
319	2500	1406
320	2507	1398
321	2514	1389
322	2521	1381
323	2528	1373
324	2536	1365
325	2543	1357
326	2550	1349
327	2557	1341
328	2564	1333
329	2571	1324
330	2579	1317
331	2587	1309
332	2595	1301
333	2602	1293
334	2609	1285
335	2617	1277
336	2625	1269
337	2632	1261
338	2639	1253
339	2647	1245
340	2654	1237
341	2661	1229
342	2668	1221
343	2676	1213
344	2685	1206
345	2693	1199
346	2702	1191
347	2710	1183
348	2718	1176
349	2726	1168
350	2734	1160
351	2742	1152
352	2750	1145
353	2758	1137
354	2767	1130
355	2775	1122
356	2784	1115
357	2792	1107
358	2800	1099
359	2808	1092
360	2816	1084
361	2823	1076
362	2832	1068
363	2840	1061
364	2848	1053
365	2856	1045
366	2864	1037
367	2871	1030
368	2880	1022
369	2887	1014
370	2896	1007
371	2904	999
372	2912	991
373	2919	983
374	2929	976
375	2937	968
376	2945	961
377	2952	953
378	2960	945
379	2968	937
380	2977	929
381	2986	922
382	2994	914
383	3001	906
384	3012	899
385	3020	892
386	3027	884
387	3034	876
388	3047	869
389	3058	862
390	3069	855
391	3078	848
392	3089	841
393	3110	836
394	3126	830
395	3145	825
396	3159	819
397	3174	813
398	3184	806
399	3193	798
400	3202	790
401	3211	782
402	3218	774
403	3226	766
404	3233	758
405	3241	750
406	3248	742
407	3256	734
408	3263	726
409	3270	717
410	3277	709
411	3285	701
412	3293	693
413	3300	685
414	3308	677
415	3315	669
416	3322	661
417	3330	653
418	3337	645
419	3344	636
420	3351	628
421	3358	620
422	3365	612
423	3372	604
424	3379	596
425	3386	588
426	3393	580
427	3401	572
428	3408	564
429	3416	556
430	3422	547
431	3429	539
432	3436	531
433	3444	523
434	3451	515
435	3457	507
436	3464	499
437	3471	491
438	3479	483
439	3486	475
440	3493	467
441	3501	459
442	3508	451
443	3516	443
444	3524	435
445	3531	427
446	3537	419
447	3544	411
448	3552	403
449	3560	395
450	3567	387
451	3575	379
452	3583	371
453	3590	363
454	3597	355
455	3605	347
456	3613	339
457	3619	331
458	3627	324
459	3635	316
460	3645	308
461	3656	300
462	3664	292
463	3673	284
464	3680	277
465	3688	269
466	3700	261
467	3712	253
468	3721	245
469	3729	238
470	3737	230
471	3745	222
472	3753	214
473	3760	206
474	3767	198
475	3776	190
476	3783	182
477	3790	174
478	3798	166
479	3805	158
480	3812	150
481	3820	142
482	3828	134
483	3836	126
484	3843	118
485	3850	110
486	3857	102
487	3864	95
488	3870	87
489	3878	79
490	3885	71
491	3892	63
492	3900	55
493	3907	47
494	3914	39
495	3921	31
496	3929	23
497	3935	15
498	3943	7
499	3950	0
